username,text
JoeBiden,"RT @POTUS: For your family, for your neighbors, for your country -- wear a mask."
JoeBiden,RT @POTUS: Everyone who wants a vaccine should be able to get one free of charge. The American Rescue Plan will make that a reality.
JoeBiden,"RT @POTUS: Last year, Michele lost her job because of the pandemic. I recently gave her a call to hear her story and discuss how my America..."
JoeBiden,"RT @POTUS: This morning, I met with House Democratic leaders to discuss the American Rescue Plan. As I said during the meeting: this isn't..."
JoeBiden,RT @POTUS: America is back. Diplomacy is back. https://t.co/03dFPQyYjw
JoeBiden,"RT @POTUS: This afternoon, I'm visiting the @StateDept and delivering remarks on America's role in the world. Tune in. https://t.co/zWG3UET..."
JoeBiden,RT @POTUS: Extending the moratorium on evictions and foreclosures to help countless Americans keep a roof over their head -- that's the Amer...
JoeBiden,RT @POTUS: Let me be clear: The risk in this moment isn't that we do too much -- it's that we don't do enough. Congress must pass the Americ...
JoeBiden,RT @POTUS: Officer Brian Sicknick was a hero who died in the line of duty defending our democracy and the citadel of liberty itself. To his...
JoeBiden,RT @POTUS: No one should lose their home in the middle of this pandemic. My American Rescue Plan will extend the moratorium on evictions an...
JoeBiden,RT @POTUS: It's long past time we raise the minimum wage to $15 an hour. The American Rescue Plan will get it done.
JoeBiden,"RT @POTUS: We've never fully lived up to the founding principles of this nation, but our Administration is committed to finishing the work..."
JoeBiden,"RT @POTUS: In order to get America vaccinated, we need more:

- Places for people to get vaccinated
- Medical teams to get shots into arms..."
JoeBiden,"RT @POTUS: Over the last 10 days, I've taken action on:

- COVID-19
- The economy
- Climate change
- Racial equity
- Immigration
- Health c..."
JoeBiden,"RT @POTUS: This afternoon, I'll be taking action to meet the climate crisis with the urgency it demands. Tune in. https://t.co/TaCmltDZ6X"
JoeBiden,"RT @POTUS: We're facing a historic moment in our nation's history -- one that requires bold and swift action. That's why this week, I took h..."
JoeBiden,"RT @POTUS: We will get through this, together. https://t.co/W03wlb2m8o"
JoeBiden,RT @POTUS: Federal employees have dedicated their careers to serving the American people -- and they are worthy of the utmost dignity and re...
JoeBiden,"RT @POTUS: I know times are tough, but help is on the way. https://t.co/BVi3b6NoBv"
JoeBiden,"RT @POTUS: This afternoon, I'll be taking action to provide much-needed relief to communities and small businesses impacted by COVID-19. Tu..."
JoeBiden,"RT @POTUS: As we mark the 48th anniversary of Roe v. Wade, now is the time to rededicate ourselves to the work ahead. From codifying Roe to..."
JoeBiden,RT @POTUS: I'm grateful for the Senate's continued bipartisanship and swift confirmation of Lloyd Austin. His confirmation is historic -- an...
JoeBiden,RT @POTUS: We will get this virus under control. https://t.co/59iC1nyR0N
JoeBiden,"RT @POTUS: I give you my word: I will always level with you.

I will defend the Constitution, our democracy, and America.

And I will give..."
JoeBiden,"RT @POTUS: We don't have a second to waste when it comes to getting this virus under control. That's why today, I'll be signing executive a..."
JoeBiden,"RT @WhiteHouse: We are currently facing four converging crises -- COVID-19, the resulting economic crisis, climate change, and racial inequi..."
JoeBiden,RT @POTUS: Wearing masks isn't a partisan issue -- it's a patriotic act that can save countless lives. That's why I signed an executive orde...
JoeBiden,RT @POTUS: The time to move forward is now. https://t.co/IrUUu0bxGO
JoeBiden,"RT @POTUS: There is no time to waste when it comes to tackling the crises we face. That's why today, I am heading to the Oval Office to get..."
JoeBiden,"Now the real work begins, folks. Follow along at @POTUS as we build back better. https://t.co/fHViqSqwp2"
JoeBiden,"I love you, Jilly, and I couldn't be more grateful to have you with me on the journey ahead. https://t.co/V4GUXAKSKg"
JoeBiden,"Today, we begin anew. Tune in for #Inauguration2021. https://t.co/HxfU8q5riA"
JoeBiden,It's a new day in America.
JoeBiden,"Tonight, in Washington, D.C. and across the nation, we came together to honor the over 400,000 Americans we've lost... https://t.co/q3gB1RJjvv"
JoeBiden,We don't have a second to waste when it comes to tackling the crises we face as a nation. That's why after being sw... https://t.co/eza8IKs9Pf
JoeBiden,"Join us for a national moment of unity and remembrance in honor of the 400,000 Americans we've lost due to COVID-19. https://t.co/0BW7AQLxUx"
JoeBiden,"Next stop: Washington, D.C. https://t.co/oW0C4LQVBf"
JoeBiden,I'm in Delaware for one final event before I head to Washington for tomorrow's inauguration. Tune in. https://t.co/YnEMiqhhDE
JoeBiden,"RT @BidenInaugural: Only ONE day until we can call @JoeBiden and @KamalaHarris President and Vice President

You don't want to miss out on..."
JoeBiden,"There's no more fitting way to honor the legacy of Dr. Martin Luther King, Jr. than service. Thank you to... https://t.co/3L1zHkmEzR"
JoeBiden,"As the National Day of Service comes to a close, we're celebrating the legacy of Dr. Martin Luther King, Jr. with a... https://t.co/OJhFw2PiUE"
JoeBiden,"Dr. Martin Luther King, Jr.'s words remind us that darkness cannot drive out darkness and hate cannot drive out hat... https://t.co/m3iRNj9Bzt"
JoeBiden,Our Administration will lead with science and scientists -- with a CDC and NIH that are free from political influenc... https://t.co/8I88LBVALq
JoeBiden,I know @harrisonjaime and the new DNC team are ready to strengthen our party's infrastructure and elect Democrats a... https://t.co/wrOvbcyZSk
JoeBiden,"Service is a fitting way to start to heal, unite, and rebuild this country we love.

I hope you'll join us in honor... https://t.co/vL0SFZQdOF"
JoeBiden,I know masks have become a partisan issue -- but it's a patriotic act. Experts say wearing a mask from now until Apr... https://t.co/XHexAioS5U
JoeBiden,"Though pushed, tested, and threatened throughout the 2020 election, our democracy proved to be resilient, true, and... https://t.co/2JfXVQLQN3"
JoeBiden,"Across the country, approximately 14 million Americans have fallen behind on rent and many may soon be at risk of e... https://t.co/1oUOomur7s"
JoeBiden,"The first @BidenInaugural event is here. Tune in as we celebrate America, reflect and honor our history, and highli... https://t.co/WpJo2Kxdgr"
JoeBiden,"To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That's why my admi... https://t.co/nhzPNXNruk"
JoeBiden,Science will be at the forefront of my administration -- and this group will ensure everything we do is grounded in... https://t.co/n0Sos0SOdx
JoeBiden,Getting America vaccinated will be one of the most challenging operational efforts ever undertaken. But you have my... https://t.co/mNdZQOlSYc
JoeBiden,"We not only have an economic imperative to act now, we have a moral obligation. 
 
In this pandemic, in America, we... https://t.co/i8Pmbmy1iJ"
JoeBiden,Science will always be at the forefront of my administration -- and these world-renowned scientists will ensure ever... https://t.co/sAZVOszzqD
JoeBiden,"RT @BidenInaugural: 5 days until we make history.

 or  this tweet to get reminded when we go live for #Inauguration2021 -- you won't wan..."
JoeBiden,"My administration will move Heaven and Earth to:

- Allow more people to get vaccinated
- Create more places for th... https://t.co/yLoRNU2MKF"
JoeBiden,"To Pilar, and the countless other small business owners across the country, know that help is on the way. https://t.co/4mKPjN6rgx"
JoeBiden,"Direct cash payments.
Extended unemployment.
Rent relief. 
Food assistance. 
Aid to small businesses.
Keeping essen... https://t.co/G3OiZzRd0J"
JoeBiden,We have no time to waste when it comes to getting this virus under control and building our economy back better. Tu... https://t.co/jlfTxmv8Tj
JoeBiden,"We need to tackle the public health and economic crises we're facing head-on. That's why today, I'm announcing my A... https://t.co/q9mu0UEw3z"
