username,text
Valkyrae,@DisguisedToast @OfflineTV @pokimanelol @LilyPichu @scarra @michaelreeves @crysteI @peterparkTV @CaizDoFilosofo I L... https://t.co/TZMo5c19nw
Valkyrae,@starsmitten_ wish you were here or i was there with you so we can eat food ;__;
Valkyrae,@OfflineTV @pokimanelol @LilyPichu @scarra @DisguisedToast @michaelreeves @crysteI WOOOO TEAM TOAST! 
Valkyrae,"RT @OfflineTV: OFFICIAL TEAMS FOR THE OFFLINETV CHARITY VALORANT INVITATIONAL 

DATES: APRIL 17-18
STARTS: 12:30PM PST
WHERE: https://t.co..."
Valkyrae,@Sydeon ty bb&lt;3
Valkyrae,@Kkatamina lub u too!
Valkyrae,@CouRageJD @brookeab @HaleyHey_ @MaddieM the tournament is both saturday and sunday but im down to hang for dinner... https://t.co/cYyeqlsEDJ
Valkyrae,@wolfer911 im not sure if teams have been announced yet but im sure they will be soon!
Valkyrae,@Corpse_Husband thanks for playing today!
Valkyrae,going to take a few days off stream! i planned to stream the offlinetv and friends valorant charity tournament but... https://t.co/1s9GLP8rjc
Valkyrae,@100Thieves @bellapoarch lets go bella! 
Valkyrae,"RT @100Thieves: She's one of the top creators on TikTok and she's fighting alongside @Valkyrae to take home a bag in Uno.

Welcome @bellapo..."
Valkyrae,@100Thieves @Nadeshot @CouRageJD @neekolul @Yassuo @brookeab @CashNasty @IamKrisLondon @CashApp wooooooo im excited!!!
Valkyrae,@Jack_Septic_Eye hey jack you look cool!
Valkyrae,@pokimanelol @xChocoBars @CopLoL_ not me thinking you were getting a dog at first LMFAO ;___;
Valkyrae,@xChocoBars @CopLoL_ WAHHHHHHHHHHH SO HAPPY FOR YOU AND LOVE YOU AND LOOK AT YOU MODELS!!!!!!!!!!!!!!!
Valkyrae,"hihi! live today at 1pm PST (2 hours from this tweet)

Among Us

Fuslie
Dream
Sapnap
Sykkuno
TommyInnit
Bretman Roc... https://t.co/bnjngCxCZ7"
Valkyrae,@xChocoBars I look so tuff
Valkyrae,@iGumdrop Hoping for a fast recovery!!!
Valkyrae,@QuarterJade thanks for playing!!
Valkyrae,@TeanaKitten i love everything about this photo
