username,text,cleaned_text
pokimanelol,@WhiteKnightSam whaT IN THE WORLD IS THIS,what in the world is this
pokimanelol,@starsmitten_ you look unreal ,you look unreal
pokimanelol,@flightmodes @pokislily so cute ,so cute
pokimanelol,@5uppps @peterparkTV @imane @PlayVALORANT double vouch for these guys,double vouch for these guys
pokimanelol,@qtcinderella how tf someone got a crush on me and can't spell my name right LOL,how tf someone got a crush on me and cant spell my name right lol
pokimanelol,@CouRageJD happy birthday!!  ,happy birthday
pokimanelol,@Subroza RAMADAN BUFFFFFF,ramadan buffffff
pokimanelol,@CORPSE hope ur doing well too,hope ur doing well too
pokimanelol,@HyperSeanic HAPPY BIRTHDAY SEANNNN !,happy birthday seannnn 
pokimanelol,@Midbeast happy birthday :),happy birthday
pokimanelol,@pokislily @pokimanc @imane i will confirm tmrw ,i will confirm tmrw
pokimanelol,@auxpoki  is the first thing i thought of too!!,is the first thing i thought of too
pokimanelol,@pokimanc @imane i've gotten a few tweets like this and uhm idk i'm clueless about twt anything &gt;.&lt; suggestions??,ive gotten a few tweets like this and uhm idk im clueless about twt anything &gt&lt suggestions
pokimanelol,@Voiidkatt @imane oh my jesus christ,oh my jesus christ
pokimanelol,RT @Voiidkatt:  @pokimanelol @imane #pokimanelol #fanart #poki https://t.co/LcFklXKcYM,
pokimanelol,@Valkyrae @REALMizkif me n rae boutta pull up on u miz https://t.co/iRXCL96Fq4,me n rae boutta pull up on u miz
pokimanelol,"@PlayVALORANT valo said ""y'all can't go on vacation so we bring vacation to you"" and i'm not mad abt it ",valo said yall cant go on vacation so we bring vacation to you and im not mad abt it
pokimanelol,@starsmitten_ https://t.co/igwXUK11AR,
pokimanelol,@39daph literally anytime,literally anytime
pokimanelol,@39daph damn bish u so FINEEEE,damn bish u so fineeee
pokimanelol,@quinnleaf happy birthday :D,happy birthday
pokimanelol,@lilpokipie @peterparkTV yes we love peter also ur name is so freakin cute ,yes we love peter also ur name is so freakin cute
pokimanelol,RT @LilyPichu: https://t.co/OjDJlLNCPG,
pokimanelol,@LilyPichu @scarra @brodinplett @DisguisedToast @michaelreeves @yvonnie ME WITH CHICKENNNNN ,me with chickennnnn
pokimanelol,@emiru congrats! well deserved &lt;3,congrats well deserved &lt3
pokimanelol,@softwilly ABSOLUTELY,absolutely
pokimanelol,@JoaArreguin buenos dias! ,buenos dias
pokimanelol,in love w all my friends ,in love w all my friends
pokimanelol,"@ERageOfficial yes you may, thanks for asking :')",yes you may thanks for asking 
pokimanelol,@QuarterJade SHEEEEEEEEEEEEEEEEESH,sheeeeeeeeeeeeeeeeesh
pokimanelol,"GGs to my amazing team @Jack_Septic_Eye @Sydeon @BaboAbe @HyperSeanic  

really proud of our performance, and th... https://t.co/hF0MRKgR7I",ggs to my amazing team really proud of our performance and th
pokimanelol,@itshafu happy birthday to the role model i've been blessed to have since the day i started streaming ,happy birthday to the role model ive been blessed to have since the day i started streaming
pokimanelol,@AOC u are literally so cool,u are literally so cool
pokimanelol,@timthetatman best part of the whole fight is timthetatman live tweets,best part of the whole fight is timthetatman live tweets
pokimanelol,@hanner my lawyers will be in touch.,my lawyers will be in touch
pokimanelol,"OTV VALORANT TOURNEY LET'S GOOOOOO
TEAM POKI FT @Jack_Septic_Eye @Sydeon @HyperSeanic @BaboAbe 

LIVE NOW  https://t.co/wlT08j266A",otv valorant tourney lets gooooooteam poki ft live now
pokimanelol,@fuslie WE LOVE U!!! &lt;3!!!,we love u &lt3
pokimanelol,@neekolul ur hair looks FIRE  ,ur hair looks fire
pokimanelol,"@visionofviii UR DOING AMAZING, IF YOU WON'T BE PROUD OF YOUR ART FOR YOURSELF THEN I WILL!!!  ",ur doing amazing if you wont be proud of your art for yourself then i will
pokimanelol,RT @visionofviii: pokimane https://t.co/iGXgVvEEqG, pokimane
pokimanelol,@itshafu I KNEW U'D LOVE IT ,i knew ud love it
pokimanelol,@xChocoBars @CopLoL_ ,
pokimanelol,@JhbTeam someday :),someday
pokimanelol,@JackManifoldTV jack's crew ,jacks crew
pokimanelol,@Pamaj not even 10 ,not even
pokimanelol,@peterparkTV  I'd vote you out too,id vote you out too
pokimanelol,@sapnapalt ,
pokimanelol,@starsmitten_ dis why ily ,dis why ily
